year,quantity
1990,700
1990,9551
1990,9551
1990,301519
1990,305708
1990,296158
1990,1096
1990,290523
1990,289427
1990,670606000
1990,127892000
1990,203828000
1990,874434000
1990,5635
1990,1538
1990,70
1990,1647
1990,515
1990,949
1990,7904
1990,146
1990,4362
1990,109
1990,3542
1990,-4259
1990,42
1990,2010
1991,302
1991,45
1991,310115
1991,288008
1991,24
1991,0
1991,1733
1991,1156
1991,717
1991,5862
1991,4734
1991,295328
1991,534
1991,305384
1991,10058
1991,809
1991,984
1991,8325
1991,107
1991,2392
1991,924
1991,3591
1991,4710
1991,10058
1991,289466
1992,2487
1992,785
1992,2736
1992,306788
1992,313669
1992,3828
1992,300302
1992,13
1992,6882
1992,310461
1992,1458
1992,-3241
1992,723
1992,983
1992,471
1992,6486
1992,293441
1992,6882
1992,46
1992,1575
1992,874
1992,1659
1992,48
1992,5223
1992,511
1992,0
1993,988
1993,1625
1993,874435000
1993,83
1993,6078
1993,204491000
1993,0
1993,997
1993,2888
1993,134063000
1993,730
1993,669944000
1993,541
1993,322151
1993,342559
1993,7703
1993,330627
1993,827
1993,3190
1993,-13716
1993,546
1993,6347
1993,147
1993,798
1993,328511
1993,334858
1993,3849
1993,1514
1993,1931
1993,7703
1994,-12197
1994,613
1994,752
1994,782
1994,2410
1994,2170
1994,7056
1994,3112
1994,0
1994,1534
1994,114
1994,625
1994,737
1994,5522
1994,4371
1994,355823
1994,349471
1994,1487
1994,7056
1994,1023
1994,362878
1994,352535
1994,6352
1994,342068
1994,1545
1994,316
1995,486
1995,393184
1995,1500
1995,4156
1995,386067
1995,6382
1995,1664
1995,379685
1995,715
1995,-19810
1995,1455
1995,372365
1995,2354
1995,3310
1995,1034
1995,743
1995,7119
1995,3086
1995,376031
1995,429
1995,7119
1995,924
1995,5664
1995,123
1995,740
1995,0
1996,392048
1996,3323
1996,669
1996,1755
1996,6337
1996,1499
1996,4281
1996,2352
1996,405920
1996,399583
1996,1382
1996,-26990
1996,486
1996,413070
1996,750
1996,808
1996,5769
1996,7151
1996,123
1996,3417
1996,1015
1996,388595
1996,713
1996,7151
1996,0
1996,1043
1997,1500
1997,697
1997,1100
1997,7013
1997,7013
1997,1693
1997,6103
1997,208548000
1997,145305000
1997,665887000
1997,406060
1997,111
1997,874435000
1997,782
1997,413722
1997,4469
1997,2056
1997,419825
1997,-35779
1997,609
1997,3641
1997,1057
1997,1316
1997,1061
1997,5697
1997,106
1997,674
1997,426836
1997,391375
1997,642
1998,107
1998,621
1998,387
1998,2273
1998,1048
1998,104
1998,1165
1998,423
1998,3844
1998,799
1998,810
1998,6117
1998,1318
1998,4557
1998,1550
1998,418941
1998,405768
1998,425866
1998,946
1998,6927
1998,428119
1998,6927
1998,1607
1998,5459
1998,413482
1998,1881
1999,6859
1999,4490
1999,448162
1999,580
1999,6859
1999,1641
1999,428252
1999,1712
1999,5584
1999,436095
1999,443654
1999,3484
1999,441679
1999,664
1999,1096
1999,408
1999,2259
1999,1604
1999,1052
1999,400
1999,6051
1999,110
1999,767
1999,3792
1999,808
1999,103
2000,90
2000,5996
2000,1133
2000,437078
2000,455470
2000,1134
2000,6801
2000,6801
2000,124
2000,396
2000,4382
2000,1037
2000,448841
2000,663
2000,10753
2000,2183
2000,5668
2000,1822
2000,441910
2000,409
2000,1688
2000,805
2000,3813
2000,785
2000,105
2000,449802
2001,7605
2001,9077
2001,7605
2001,702
2001,2459
2001,61
2001,-13679
2001,679
2001,1057
2001,702
2001,1828
2001,6903
2001,5075
2001,89
2001,730
2001,2183
2001,459034
2001,5557
2001,466708
2001,750
2001,472190
2001,1364
2001,464591
2001,454737
2001,880
2002,2
2002,466
2002,-3104
2002,6597
2002,7253
2002,717
2002,1296
2002,472474
2002,59
2002,464424
2002,2
2002,1193
2002,470018
2002,5594
2002,4579
2002,5875
2002,2364
2002,994
2002,458879
2002,6597
2002,5
2002,1988
2002,62
2002,722
2002,1087
2002,469319
2002,2905
2003,-7294
2003,651
2003,1565
2003,748
2003,87
2003,2
2003,8458
2003,4163
2003,0
2003,615
2003,503
2003,97
2003,2958
2003,5728
2003,1621
2003,479887
2003,6476
2003,6476
2003,932
2003,479857
2003,2
2003,1119
2003,5530
2003,474993
2003,485387
2003,479655
2003,2124
2004,164
2004,367
2004,1113
2004,6702
2004,2
2004,2
2004,7410
2004,497962
2004,-5353
2004,1461
2004,39
2004,4783
2004,990
2004,1313
2004,1514
2004,949
2004,800
2004,498074
2004,496692
2004,4874
2004,501566
2004,492456
2004,2932
2004,7410
2004,6297
2004,455
2004,2123
2005,1625
2005,130460000
2005,2
2005,202870000
2005,506769
2005,667415000
2005,489
2005,2232
2005,510424
2005,2
2005,4
2005,1280
2005,870285000
2005,875
2005,514903
2005,7040
2005,6772
2005,429
2005,4346
2005,500654
2005,1099
2005,1327
2005,865
2005,505031
2005,5673
2005,5393
2005,1095
2005,2553
2005,6772
2005,-13549
2006,2368
2006,500207
2006,2
2006,2
2006,382
2006,2264
2006,5994
2006,5659
2006,5659
2006,5585
2006,962
2006,543931
2006,505792
2006,805
2006,1247
2006,345
2006,805
2006,4442
2006,4854
2006,22864
2006,412
2006,2753
2006,894
2006,495698
2006,517337
2007,2483
2007,5334
2007,7730
2007,372
2007,5334
2007,393
2007,2
2007,465
2007,701
2007,2571
2007,4633
2007,11766
2007,2
2007,129358000
2007,4168
2007,832
2007,506415
2007,546406
2007,529617
2007,514230
2007,224
2007,508897
2007,5333
2007,933
2007,266
2007,701
2007,1283
2008,528043
2008,7661
2008,2984
2008,522743
2008,826
2008,5300
2008,1323
2008,547513
2008,398
2008,225
2008,6001
2008,6560
2008,320
2008,2
2008,559
2008,242
2008,867
2008,200807000
2008,200807000
2008,520274
2008,128794000
2008,1510
2008,5994
2008,4491
2008,6560
2008,557764
2008,559
2008,2
2008,3179
2009,104
2009,4
2009,286
2009,5647
2009,496484
2009,557
2009,929
2009,1471
2009,2760
2009,511402
2009,1744
2009,1595
2009,5427
2009,516097
2009,505155
2009,1474
2009,871
2009,5944
2009,465
2009,4200
2009,299
2009,499728
2009,6501
2009,4
2009,557
2009,6501
2010,552
2010,561
2010,5572
2010,7027
2010,135
2010,505887
2010,965
2010,425
2010,529354
2010,1503
2010,516734
2010,3268
2010,4
2010,4
2010,548
2010,538015
2010,7203
2010,1726
2010,561
2010,2913
2010,1810
2010,511162
2010,4916
2010,7203
2010,6642
2010,3562
2011,7240
2011,280
2011,501011
2011,353
2011,524
2011,5406
2011,5
2011,6053
2011,5
2011,514735
2011,7240
2011,2035
2011,43
2011,509304
2011,575
2011,5147
2011,587
2011,903
2011,3626
2011,519948
2011,6653
2011,1506
2011,587
2011,572
2011,503898
2011,-10389
2012,227
2012,8249
2012,1730
2012,550
2012,3398
2012,550
2012,664
2012,5086
2012,773
2012,6816
2012,460955
2012,24
2012,2
2012,464016
2012,411
2012,455432
2012,5523
2012,274
2012,453234
2012,1784
2012,140
2012,8186
2012,7366
2012,7366
2012,386
2012,479654
2012,2
2013,339
2013,5158
2013,571
2013,338
2013,-21110
2013,3637
2013,338
2013,0
2013,6717
2013,611
2013,474510
2013,1559
2013,472875
2013,421
2013,5099
2013,260
2013,1
2013,11372
2013,7055
2013,312
2013,7055
2013,464039
2013,480498
2013,1854
2013,410
2013,475399
2013,1
2014,7020
2014,640
2014,4763
2014,524
2014,1840
2014,1398360000
2014,456063
2014,5391
2014,679
2014,30483000
2014,308
2014,122
2014,1
2014,472948
2014,7020
2014,774
2014,1
2014,470022
2014,320
2014,461454
2014,524
2014,6496
2014,3291
2014,1733
2014,524
2014,-7719
2014,1398360000
2014,5887
2014,453422
